cd_mun,municipio,nm_mun_y,uf,nm_uf,regional,faixa_populacional,populacao,area_km2,n_meses_com_registro,cvli_total,furto_total,roubo_total,densidade_cvli_100milhab,densidade_furto_100milhab,densidade_roubo_100milhab
1501758,Brejo Grande do Araguaia,Brejo Grande do Araguaia,PA,Pará,CARAJAS,Até 20 mil,8243,1288.473,10,5,30,4,60.65752759917505,363.9451655950503,48.52602207934004
1501782,Breu Branco,Breu Branco,PA,Pará,LAGO DE TUCURUI,de 41 mil a 100 mil,52493,3941.736,12,16,289,28,30.48025451012516,550.5495970891357,53.34044539271903
1501808,Breves,Breves,PA,Pará,MARAJO OCIDENTAL,de 100 mil a 200 mil,106968,9566.499,12,9,974,98,8.413731209333632,910.5526886545508,91.61618427941066
1501907,Bujaru,Bujaru,PA,Pará,GUAMA,de 21 mil a 40 mil,23635,994.662,12,4,118,23,16.92405331076793,499.2595726676539,97.31330653691559
1502004,Cachoeira do Arari,Cachoeira do Arari,PA,Pará,MARAJO ORIENTAL,de 21 mil a 40 mil,23981,3100.261,12,2,198,5,8.339935782494475,825.6536424669531,20.84983945623619
1501956,Cachoeira do Piriá,Cachoeira do Piriá,PA,Pará,CAETE,Até 20 mil,19630,2419.6,12,9,38,7,45.84819154355579,193.5812531839022,35.65970453387672
1502103,Cametá,Cametá,PA,Pará,TOCANTINS,de 100 mil a 200 mil,134184,3082.19,12,1,876,177,0.7452453347642044,652.834913253443,131.9084242532642
1502152,Canaã dos Carajás,Canaã dos Carajás,PA,Pará,CARAJAS,de 41 mil a 100 mil,77079,3146.749,12,18,982,207,38.9211069162807,1716.420815007979,330.8294087883859
1502202,Capanema,Capanema,PA,Pará,CAETE,de 41 mil a 100 mil,70321,621.483,12,32,595,104,45.50560998848139,846.119935723326,147.8932324625645
1502301,Capitão Poço,Capitão Poço,PA,Pará,CAETE,de 41 mil a 100 mil,54511,2901.026,12,14,163,54,25.68288969198877,299.0222156995836,99.0625745262424
1502400,Castanhal,Castanhal,PA,Pará,GUAMA,de 100 mil a 200 mil,192262,1029.3,12,30,2037,1060,15.60370744088795,1059.491735236292,551.3309962447078
1502509,Chaves,Chaves,PA,Pará,MARAJO OCIDENTAL,Até 20 mil,20757,12534.995,11,4,45,0,19.27060750590163,216.7943344413933,0.0
1502608,Colares,Colares,PA,Pará,GUAMA,Até 20 mil,12868,384.068,12,0,60,2,0.0,466.2729250854833,15.54243083618278
1502707,Conceição do Araguaia,Conceição do Araguaia,PA,Pará,ARAGUAIA,de 41 mil a 100 mil,47397,5829.482,12,15,376,50,31.64757263117919,793.2991539548916,105.4919087705973
1502756,Concórdia do Pará,Concórdia do Pará,PA,Pará,GUAMA,de 21 mil a 40 mil,32734,700.614,12,15,346,88,45.82391397323884,1057.004948982709,268.8336286430011
1502764,Cumaru do Norte,Cumaru do Norte,PA,Pará,ARAGUAIA,Até 20 mil,14044,17085.001,12,8,41,8,56.96382796923954,291.9396183423526,56.96382796923954
1502772,Curionópolis,Curionópolis,PA,Pará,CARAJAS,Até 20 mil,20126,2369.096,11,7,114,8,74.53045811388255,705.555003478088,44.71827486832952
1502806,Curralinho,Curralinho,PA,Pará,MARAJO OCIDENTAL,de 21 mil a 40 mil,33903,3617.35,12,4,334,54,11.7983659263192,985.1635548476536,159.2779400053093
1502855,Curuá,Curuá,PA,Pará,BAIXO AMAZONAS,Até 20 mil,13911,1431.351,12,6,89,9,43.13133491481562,639.7814679030982,64.69700237222342
1502905,Curuçá,Curuçá,PA,Pará,GUAMA,de 41 mil a 100 mil,41262,676.322,12,12,309,26,29.08244874218409,748.8730551112404,63.0119722747322
1502939,Dom Eliseu,Dom Eliseu,PA,Pará,CAPIM,de 41 mil a 100 mil,59335,5268.809,12,26,262,50,43.8189938484874,441.560630319373,84.26729586247578
1502954,Eldorado do Carajás,Eldorado do Carajás,PA,Pará,CARAJAS,de 21 mil a 40 mil,28149,2956.691,12,12,96,26,56.84038509360902,461.8281288855732,99.47067391381577
1503002,Faro,Faro,PA,Pará,BAIXO AMAZONAS,Até 20 mil,8169,11771.669,12,2,75,5,24.48280083241523,918.1050312155711,61.20700208103807
1503044,Floresta do Araguaia,Floresta do Araguaia,PA,Pará,ARAGUAIA,Até 20 mil,18175,3444.285,12,5,81,5,27.51031636863824,445.6671251719395,27.51031636863824
1503077,Garrafão do Norte,Garrafão do Norte,PA,Pará,CAETE,de 21 mil a 40 mil,25138,1608.014,12,10,67,11,39.78041212506962,266.5287612379664,43.75845333757658
1503093,Goianésia do Pará,Goianésia do Pará,PA,Pará,LAGO DE TUCURUI,de 21 mil a 40 mil,40522,7023.932,12,8,144,9,19.74236217363407,355.3625191254134,22.21015744533834
1503101,Gurupá,Gurupá,PA,Pará,MARAJO OCIDENTAL,de 21 mil a 40 mil,31545,8569.676,12,3,151,11,9.51022349025202,478.6812490093517,34.87081946425742
1503200,Igarapé-Açu,Igarapé-Açu,PA,Pará,GUAMA,de 21 mil a 40 mil,35795,785.983,12,5,266,72,13.96843134515994,743.1205475625088,201.1454113703031
1503309,Igarapé-Miri,Igarapé-Miri,PA,Pará,TOCANTINS,de 41 mil a 100 mil,62848,1996.798,12,9,235,197,14.32026476578411,373.9180244399186,313.4546843177189
1503408,Inhangapi,Inhangapi,PA,Pará,GUAMA,Até 20 mil,11411,472.605,12,1,68,10,8.763473841030585,595.9162211900798,87.63473841030584
1503457,Ipixuna do Pará,Ipixuna do Pará,PA,Pará,CAPIM,de 21 mil a 40 mil,28468,5215.555,12,14,179,60,49.17802444850359,628.7761697344387,210.7629619221582
1503507,Irituia,Irituia,PA,Pará,GUAMA,de 21 mil a 40 mil,31066,1385.209,12,3,152,25,9.656859589261572,489.2808858559196,80.4738299105131
